83,ノーベル賞で有名なノーベルはどこの国の人？,スウェーデン
84,「ガッツ」って元々何のこと？,内臓
85,ダイヤモンドは何でできている？[漢字],炭素
86,「天王山」で戦ったのは明智光秀と誰？,豊臣秀吉
87,「御曹司」とは元々誰のこと？,源義経
88,要人警護の「ＳＰ」って、何の略？[小文字空白区切り],security police
89,エベレストに次いで世界で２番目に高い山は？,K2
90,レオナルド・ダ・ビンチ作の『モナ・リザ』の「リザ」は人名､では「モナ」の意味は？,婦人
91,これまでの日本の歴史上､期間のいちばん長かった年号は？,昭和
92,正式名「シアン化カリウム」である毒薬は？,青酸カリ
93,グアム島はどこの国の領土？,アメリカ
94,「パトラッシュ」という名の犬が登場する文学作品は？,フランダースの犬
95,北アメリカ大陸の最高峰は？,マッキンリー
96,世界でいちばん多い血液型は？,O
97,日本のジムに所属するこれまでのプロボクシングの世界チャンピオンの中で、最も多い連続13回防衛という記録を持つのは誰？,具志堅用高
98,トランプや賭け事で、親となり札やトランプ配る配り手をを英語で何という？[カタカナ],ディーラー
99,「大丈夫」の反対語は？,駄目
100,「にっこり」の反対語は？,むっつり
